País,Número departamento,Departamento,Provincia,Número municipio,Municipio,Circunscripción,Localidad,Recinto,Número Mesa,Código Mesa,Elección,Inscritos,CC,FPV,MTS,UCS,MAS - IPSP,21F,PDC,MNR,PAN-BOL,Votos Válidos,Blancos,Nulos,Estado acta
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22396,100320207290230506,Presidente y Vicepresidente,216,84,0,2,1,87,2,19,0,4,199,0,8,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22396,100320207290230506,Diputados Uninominales,216,77,0,5,1,73,4,0,2,6,168,29,10,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22397,100320207290230507,Presidente y Vicepresidente,224,82,0,3,1,80,7,17,1,2,193,5,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22397,100320207290230507,Diputados Uninominales,224,72,0,4,1,68,14,0,3,4,166,32,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22398,100320207290230508,Presidente y Vicepresidente,216,72,2,3,1,96,3,22,0,3,202,0,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22398,100320207290230508,Diputados Uninominales,216,69,0,2,2,69,8,0,3,5,158,45,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22399,100320207290230509,Presidente y Vicepresidente,219,86,1,3,0,86,4,17,0,1,198,0,9,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22399,100320207290230509,Diputados Uninominales,219,77,0,12,2,70,2,0,5,3,171,25,11,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22400,100320207290230510,Presidente y Vicepresidente,215,81,0,4,2,88,2,16,0,1,194,3,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22400,100320207290230510,Diputados Uninominales,215,76,0,3,2,75,4,0,1,2,163,34,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22401,100320207290230511,Presidente y Vicepresidente,54,15,0,0,2,29,1,4,0,0,51,0,2,Computada
